Lyrics,Song
hows gon na feel im top,You Wear a Crown but You’re No King
guess ill watch walk away,You Wear a Crown but You’re No King
dont waste time,You Wear a Crown but You’re No King
youve got upside,You Wear a Crown but You’re No King
thinking,You Wear a Crown but You’re No King
youre,You Wear a Crown but You’re No King
let empire crumble,You Wear a Crown but You’re No King
decide whats next us,You Wear a Crown but You’re No King
sold,You Wear a Crown but You’re No King
youll never learn never,You Wear a Crown but You’re No King
theres fine line love hate,There’s A Fine Line Between Love And Hate
youve crossed,There’s A Fine Line Between Love And Hate
crossed,There’s A Fine Line Between Love And Hate
puppet youd master,There’s A Fine Line Between Love And Hate
pull strings forever,There’s A Fine Line Between Love And Hate
puppet hold tight well alright,There’s A Fine Line Between Love And Hate
alright,There’s A Fine Line Between Love And Hate
well alright,There’s A Fine Line Between Love And Hate
dont cross border line,There’s A Fine Line Between Love And Hate
cross border line,There’s A Fine Line Between Love And Hate
cross crossed border line,There’s A Fine Line Between Love And Hate
theres nowhere go hide,There’s A Fine Line Between Love And Hate
theres nowhere run tonight,There’s A Fine Line Between Love And Hate
please dont cross line line,There’s A Fine Line Between Love And Hate
please dont cross line,There’s A Fine Line Between Love And Hate
please dont cross line line line,There’s A Fine Line Between Love And Hate
puppet would,There’s A Fine Line Between Love And Hate
rise,Rise Up
keep eye focused time keep us front sights,Rise Up
ive waited long time bliss hope time,Rise Up
stand broken please god hear cries everytime,Rise Up
many times watched fall smile,Rise Up
ive thick thin weve struggled smile,Rise Up
ready brace cause leaving,Rise Up
ive waited long time shine hope time,Rise Up
help us get help us get open,Rise Up
help us grow rise rise,Rise Up
im door left note,Welcome Home
words made choke,Welcome Home
says know feel alone,Welcome Home
youre scared death letting go,Welcome Home
sometimes lose find,Welcome Home
id cross world one else save,Welcome Home
one word go,Welcome Home
im scared death youre scared youll die alone,Welcome Home
im door chase ive searching,Welcome Home
spaces us grow youll never know,Welcome Home
im scared death letting go,Welcome Home
take dark seconds apart,Welcome Home
heart needs break honest mistake,Welcome Home
find way back,Welcome Home
help find way back,Welcome Home
bring home,Welcome Home
im ready believe,Welcome Home
made collision,Welcome Home
need,Welcome Home
bring home make back,Welcome Home
home make back,Welcome Home
maybe reason,Welcome Home
fix part,Welcome Home
cause need,Welcome Home
part,Welcome Home
living im living,Welcome Home
go,Welcome Home
lets start one,40 Days...
count days,40 Days...
lets hope god,40 Days...
time flies like say,40 Days...
cause instance,40 Days...
cant distance,40 Days...
heart tonight,40 Days...
im lying awake,40 Days...
im holding picture,40 Days...
cold without,40 Days...
without,40 Days...
need cause killing,40 Days...
wish somehow,40 Days...
fall asleep feel,40 Days...
till fall asleep,40 Days...
could,40 Days...
ive night riding subway lines,40 Days...
sleeping floor,40 Days...
make lifetime,40 Days...
youre want right,40 Days...
life keeps telling need go,40 Days...
want stay,40 Days...
cause im lost without,40 Days...
found love never,40 Days...
changed,40 Days...
wait however long takes,40 Days...
say words ive thinking,40 Days...
ill never let go,40 Days...
eyes wide shut,With Eyes Wide Shut
know im hold,With Eyes Wide Shut
look see sky,With Eyes Wide Shut
make happiest men,With Eyes Wide Shut
happiest men,With Eyes Wide Shut
god takes,With Eyes Wide Shut
want know love,With Eyes Wide Shut
made strongest men,With Eyes Wide Shut
ill remain happiest men,With Eyes Wide Shut
happiest happiest happiest men,With Eyes Wide Shut
made,With Eyes Wide Shut
strongest men,With Eyes Wide Shut
miss,With Eyes Wide Shut
baby close eyes,With Eyes Wide Shut
lets meet,With Eyes Wide Shut
dreams tonight,With Eyes Wide Shut
felt anxious store,I Wouldn’t Quit If Everyone Quit
took away,I Wouldn’t Quit If Everyone Quit
dreams desires,I Wouldn’t Quit If Everyone Quit
couldnt provide,I Wouldn’t Quit If Everyone Quit
ive got hopes im fighter,I Wouldn’t Quit If Everyone Quit
wont answer need answered,I Wouldn’t Quit If Everyone Quit
wont say word,I Wouldn’t Quit If Everyone Quit
wont say anything,I Wouldn’t Quit If Everyone Quit
bury ecstasy take pain away,I Wouldn’t Quit If Everyone Quit
oh youve got ta kidding,I Wouldn’t Quit If Everyone Quit
wont answer need answered unfair,I Wouldn’t Quit If Everyone Quit
im selfish,I Wouldn’t Quit If Everyone Quit
wont retreat,I Wouldn’t Quit If Everyone Quit
let light shine,We’ll Sleep When We’re Dead
alone,We’ll Sleep When We’re Dead
tear away tear away,We’ll Sleep When We’re Dead
awful feeling lets start bleeding,We’ll Sleep When We’re Dead
rip away rip away,We’ll Sleep When We’re Dead
doubts last time,We’ll Sleep When We’re Dead
ever gon na hurt,We’ll Sleep When We’re Dead
ill never sing song without without,We’ll Sleep When We’re Dead
remember way felt,We’ll Sleep When We’re Dead
never gon na hurt,We’ll Sleep When We’re Dead
ill never sing song,We’ll Sleep When We’re Dead
remember day,We’ll Sleep When We’re Dead
remember,We’ll Sleep When We’re Dead
hide makeshift hearts,We’ll Sleep When We’re Dead
taking aim taking aim,We’ll Sleep When We’re Dead
wont leaving,We’ll Sleep When We’re Dead
let line shine tonight tonight tonight,We’ll Sleep When We’re Dead
alone weve,We’ll Sleep When We’re Dead
alone started,We’ll Sleep When We’re Dead
well testing martyrs,We’ll Sleep When We’re Dead
bringing hell high waters,We’ll Sleep When We’re Dead
reading psalms dead,Walk on Water
lighting candles make amends,Walk on Water
voice never speak,Walk on Water
six feet never shouldve,Walk on Water
stop living like walk water,Walk on Water
looking left drown,Walk on Water
know,Walk on Water
couldnt find words,Walk on Water
another day left,Walk on Water
id tell id tell,Walk on Water
another day,Walk on Water
try take away pain,Walk on Water
youre far reach,Walk on Water
lesson cant teach,Walk on Water
love lose wish know,Walk on Water
cant teach,Walk on Water
ive seen scars youve tried hide,Walk on Water
searching answers look sky,Walk on Water
say im liar say im fake,Walk on Water
im far saint ill live mistakes,Walk on Water
im liar im fake,Walk on Water
ill take sins burn stake,Walk on Water
son god listening,Walk on Water
son god hear cry,Walk on Water
put faith,Walk on Water
could watch die,Walk on Water
could watch us die,Walk on Water
cant find dedication,Youngbloods
life could swallow whole,Youngbloods
cant find anything believe,Youngbloods
still,Youngbloods
far perfect,Youngbloods
full sin,Youngbloods
everyday chance take,Youngbloods
time,Youngbloods
youre bitch,Youngbloods
lie,Youngbloods
one ever gave anything,Youngbloods
earned,Youngbloods
ill take grave,Youngbloods
every time turn around,Youngbloods
see another face,Youngbloods
trying take,Youngbloods
take grave,Youngbloods
whats fear,Youngbloods
somehow ill carry,Youngbloods
well dead end,Youngbloods
know hear,Youngbloods
ill carry,Youngbloods
watch rise,Youngbloods
words said,Youngbloods
reign ending,Youngbloods
never know time approaches,Youngbloods
ive got world back,Youngbloods
theres way im ever giving,Youngbloods
part,Youngbloods
dont kid,Youngbloods
theres room,Youngbloods
youre fucking disgrace,Youngbloods
message unknown,A Message To The Unknown
turn let feel,A Message To The Unknown
